"country_id","country_name","HDI","blank1","life_expectancy","blank2","expected_years_schooling","blank3","mean_years_schooling","blank4","GNI_per_capita","blank5","gni_per_capita_rank","blank6","hdi_rank","blank7"
"77","Bosnia and Herzegovina","0.768","","77.1","","14.2","o","9.7","","11716","","16","","77",""
"78","Venezuela","0.761","","74.7","","14.3","","10.3","","10672","k","20","","77",""
"79","Brazil","0.759","","75.7","","15.4","","7.8","f","13755","k","2","","79",""
"80","Azerbaijan","0.757","","72.1","","12.7","q","10.7","","15600","k","-7","","80",""
"80","Lebanon","0.757","","79.8","","12.5","","8.7","f","13378","","3","","82",""
"80","The former Yugoslav Republic of Macedonia","0.757","","75.9","","13.3","","9.6","o","12505","","9","","81",""
"83","Armenia","0.755","","74.8","","13.0","","11.7","","9144","","24","","84",""
"83","Thailand","0.755","","75.5","","14.7","","7.6","","15516","","-7","","86",""
"85","Algeria","0.754","","76.3","","14.4","","8.0","f","13802","","-5","","83",""
"86","China","0.752","","76.4","","13.8","","7.8","l","15270","","-9","","86",""
"86","Ecuador","0.752","","76.6","","14.7","","8.7","","10347","","15","","84",""
"88","Ukraine","0.751","","72.1","","15.0","","11.3","l","8130","","24","","90",""
"89","Peru","0.750","","75.2","","13.8","","9.2","","11789","","3","","86",""
"90","Colombia","0.747","","74.6","","14.4","","8.3","","12938","","-4","","89",""
"90","Saint Lucia","0.747","","75.7","","13.6","q","8.9","f","11695","","4","","91",""
"92","Fiji","0.741","","70.4","","15.3","f","10.8","j","8324","k","18","","93",""
"92","Mongolia","0.741","","69.5","","15.5","","10.1","","10103","","11","","92",""
"94","Dominican Republic","0.736","","74.0","","13.7","","7.8","","13921","","-15","","95",""
"95","Jordan","0.735","","74.5","","13.1","f","10.4","j","8288","","16","","94",""
"95","Tunisia","0.735","","75.9","","15.1","","7.2","l","10275","k","7","","96",""
"97","Jamaica","0.732","","76.1","","13.1","f","9.8","f","7846","","17","","96",""
"98","Tonga","0.726","","73.2","","14.3","n","11.2","f","5547","k","37","","98",""
"99","Saint Vincent and the Grenadines","0.723","","73.3","","13.3","","8.6","","10499","k","0","","99",""
"100","Suriname","0.720","","71.5","","12.7","q","8.5","f","13306","k","-16","","100",""
"101","Botswana","0.717","","67.6","","12.6","f","9.3","l","15534","","-26","","102",""
"101","Maldives","0.717","","77.6","","12.6","q","6.3","j","13567","k","-19","","102",""
"103","Dominica","0.715","","78.0","g","12.7","n","7.8","d","8344","k","6","","101",""
"104","Samoa","0.713","","75.2","","12.5","d","10.3","d","5909","k","24","","104",""
"105","Uzbekistan","0.710","","71.4","","12.0","","11.5","","6470","","19","","107",""
"106","Belize","0.708","","70.6","","12.8","","10.5","f","7166","","14","","105",""
"106","Marshall Islands","0.708","","73.6","g","13.0","d","10.9","","5125","","33","","..",""
"108","Libya","0.706","","72.1","","13.4","n","7.3","l","11100","k","-12","","114",""
"108","Turkmenistan","0.706","","68.0","","10.8","","9.8","q","15594","k","-34","","106",""
"110","Gabon","0.702","","66.5","","12.8","q","8.2","q","16431","","-40","","109",""
"110","Paraguay","0.702","","73.2","","12.7","","8.4","","8380","","-2","","108",""
"112","Moldova","0.700","","71.7","","11.6","","11.6","","5554","","22","","110",""
"113","Philippines","0.699","","69.2","","12.6","","9.3","f","9154","","-7","","111",""
"113","South Africa","0.699","","63.4","","13.3","","10.1","","11923","","-23","","111",""
"115","Egypt","0.696","","71.7","","13.1","","7.2","j","10355","","-15","","113",""
"116","Indonesia","0.694","","69.4","","12.8","","8.0","","10846","","-19","","115",""
"116","Viet Nam","0.694","","76.5","","12.7","o","8.2","o","5859","","14","","116",""
"118","Bolivia","0.693","","69.5","","14.0","","8.9","","6714","","5","","116",""
"119","Palestine","0.686","","73.6","","12.8","","9.1","","5055","","21","","116",""
"120","Iraq","0.685","","70.0","","11.0","q","6.8","f","17789","k","-53","","120",""
"121","El Salvador","0.674","","73.8","","12.6","","6.9","","6868","","0","","119",""
"122","Kyrgyzstan","0.672","","71.1","","13.4","","10.9","q","3255","","32","","121",""
"123","Morocco","0.667","","76.1","","12.4","","5.5","j","7340","","-5","","122",""
"124","Nicaragua","0.658","","75.7","","12.1","","6.7","j","5157","","14","","123",""
"125","Cabo Verde","0.654","","73.0","","12.6","","6.1","","5983","","2","","124",""
"125","Guyana","0.654","","66.8","","11.4","","8.4","o","7447","k","-8","","124",""
"127","Guatemala","0.650","","73.7","","10.8","","6.5","f","7278","","-8","","126",""
"127","Tajikistan","0.650","","71.2","","11.2","","10.4","j","3317","k","25","","127",""
"129","Namibia","0.647","","64.9","","12.3","q","6.8","j","9387","","-25","","128",""
"130","India","0.640","","68.8","","12.3","","6.4","f","6353","","-5","","129",""
"131","Micronesia","0.627","","69.3","","11.7","d","8.0","d","3843","k","13","","131",""
"132","Timor-Leste","0.625","","69.2","","12.8","","4.5","q","6846","","-10","","130",""
"133","Honduras","0.617","","73.8","","10.2","","6.5","","4215","","8","","132",""
"134","Bhutan","0.612","","70.6","","12.3","","3.1","o","8065","","-21","","135",""
"134","Kiribati","0.612","","66.5","","12.9","","7.9","d","3042","k","22","","134",""
"136","Bangladesh","0.608","","72.8","","11.4","f","5.8","l","3677","","9","","138",""
"137","Congo","0.606","","65.1","","11.4","","6.3","l","5694","","-5","","133",""
"138","Vanuatu","0.603","","72.3","","10.9","n","6.8","o","2995","","19","","136",""
"139","Lao People's Democratic Republic","0.601","","67.0","","11.2","","5.2","j","6070","","-13","","137",""
"140","Ghana","0.592","","63.0","","11.6","","7.1","j","4096","","3","","140",""
"141","Equatorial Guinea","0.591","","57.9","","9.3","n","5.5","q","19513","","-80","","139",""
"142","Kenya","0.590","","67.3","","12.1","q","6.5","j","2961","","16","","143",""
"143","Sao Tome and Principe","0.589","","66.8","","12.5","","6.3","f","2941","k","16","","144",""
"144","Eswatini","0.588","","58.3","","11.2","","6.5","o","7620","","-29","","141",""
"144","Zambia","0.588","","62.3","","12.5","q","7.0","q","3557","k","3","","141",""
"146","Cambodia","0.582","","69.3","","11.7","f","4.8","j","3413","","3","","146",""
"147","Angola","0.581","","61.8","","11.8","q","5.1","q","5790","","-16","","145",""
"148","Myanmar","0.578","","66.7","","10.0","","4.9","q","5567","k","-15","","147",""
"149","Nepal","0.574","","70.6","","12.2","","4.9","j","2471","","12","","148",""
"150","Pakistan","0.562","","66.6","","8.6","","5.2","","5311","","-14","","149",""
"151","Cameroon","0.556","","58.6","","12.2","","6.3","l","3315","","2","","150",""
"152","Solomon Islands","0.546","","71.0","","10.2","d","5.5","q","1872","k","15","","151",""
"153","Papua New Guinea","0.544","","65.7","","10.0","n","4.6","j","3403","k","-3","","151",""
"154","Tanzania","0.538","","66.3","","8.9","q","5.8","j","2655","","6","","154",""
"155","Syrian Arab Republic","0.536","","71.0","","8.8","","5.1","r","2337","s","8","","153",""
"156","Zimbabwe","0.535","","61.7","","10.3","","8.1","","1683","","17","","155",""
"157","Nigeria","0.532","","53.9","","10.0","q","6.2","q","5231","","-20","","156",""
"158","Rwanda","0.524","","67.5","","11.2","","4.1","f","1811","","11","","157",""
"159","Lesotho","0.520","","54.6","","10.6","","6.3","j","3255","","-4","","159",""
"159","Mauritania","0.520","","63.4","","8.6","","4.5","j","3592","","-13","","159",""
"161","Madagascar","0.519","","66.3","","10.6","","6.1","q","1358","","20","","158",""
"162","Uganda","0.516","","60.2","","11.6","q","6.1","q","1658","","13","","162",""
"163","Benin","0.515","","61.2","","12.6","","3.6","o","2061","","2","","161",""
"164","Senegal","0.505","","67.5","","9.7","","3.0","","2384","","-2","","165",""
"165","Comoros","0.503","","63.9","","11.2","","4.8","q","1399","","15","","163",""
"165","Togo","0.503","","60.5","","12.4","q","4.8","q","1453","","14","","164",""
"167","Sudan","0.502","","64.7","","7.4","","3.7","j","4119","","-25","","165",""
"168","Afghanistan","0.498","","64.0","","10.4","","3.8","j","1824","","0","","168",""
"168","Haiti","0.498","","63.6","","9.3","n","5.3","q","1665","","6","","167",""
"170","Côte d'Ivoire","0.492","","54.1","","9.0","","5.2","j","3481","","-22","","169",""
"171","Malawi","0.477","","63.7","","10.8","","4.5","j","1064","","14","","170",""
"172","Djibouti","0.476","","62.6","","6.2","","4.1","o","3392","","-21","","170",""
"173","Ethiopia","0.463","","65.9","","8.5","f","2.7","q","1719","","-1","","173",""
"174","Gambia","0.460","","61.4","","9.2","","3.5","j","1516","","4","","173",""
"175","Guinea","0.459","","60.6","","9.1","","2.6","q","2067","","-11","","177",""
"176","Congo","0.457","","60.0","","9.8","","6.8","f","796","","12","","176",""
"177","Guinea-Bissau","0.455","","57.8","","10.5","o","3.0","o","1552","","0","","175",""
"178","Yemen","0.452","","65.2","","9.0","f","3.0","l","1239","","5","","172",""
"179","Eritrea","0.440","","65.5","","5.4","","4.0","n","1750","k","-9","","178",""
"180","Mozambique","0.437","","58.9","","9.7","","3.5","f","1093","","4","","179",""
"181","Liberia","0.435","","63.0","","10.0","q","4.7","j","667","","9","","180",""
"182","Mali","0.427","","58.5","","7.7","","2.3","f","1953","","-16","","181",""
"183","Burkina Faso","0.423","","60.8","","8.5","","1.5","q","1650","","-7","","182",""
"184","Sierra Leone","0.419","","52.2","","9.8","q","3.5","j","1240","","-2","","184",""
"185","Burundi","0.417","","57.9","","11.7","","3.0","q","702","","4","","183",""
"186","Chad","0.404","","53.2","","8.0","","2.3","q","1750","","-15","","185",""
"187","South Sudan","0.388","","57.3","","4.9","q","4.8","","963","k","-1","","186",""
"188","Central African Republic","0.367","","52.9","","7.2","f","4.3","j","663","","3","","187",""
"189","Niger","0.354","","60.4","","5.4","","2.0","j","906","","-2","","188",""
