"CAI_IND"|"Indicator"|"LOCATION"|"Country"|"TIME"|"Time"|"Value"|"Flag Codes"|"Flags"
"600111"|"Total number of radio and television institutions"|"CIV"|"Côte d'Ivoire"|"2005"|"2005"|93||
"600111"|"Total number of radio and television institutions"|"HRV"|"Croatia"|"2005"|"2005"|151||
"600111"|"Total number of radio and television institutions"|"CUB"|"Cuba"|"2005"|"2005"|3||
"600111"|"Total number of radio and television institutions"|"CYP"|"Cyprus"|"2005"|"2005"|62||
"600111"|"Total number of radio and television institutions"|"COD"|"Democratic Republic of the Congo"|"2005"|"2005"|281||
"600111"|"Total number of radio and television institutions"|"DJI"|"Djibouti"|"2004"|"2004"|3||
"600111"|"Total number of radio and television institutions"|"DOM"|"Dominican Republic"|"2005"|"2005"|375||
"600111"|"Total number of radio and television institutions"|"ECU"|"Ecuador"|"2005"|"2005"|1001||
"600111"|"Total number of radio and television institutions"|"EGY"|"Egypt"|"2005"|"2005"|9||
"600111"|"Total number of radio and television institutions"|"EST"|"Estonia"|"2005"|"2005"|21||
"600111"|"Total number of radio and television institutions"|"ETH"|"Ethiopia"|"2005"|"2005"|8||
"600111"|"Total number of radio and television institutions"|"GMB"|"Gambia"|"2005"|"2005"|8||
"600111"|"Total number of radio and television institutions"|"GHA"|"Ghana"|"2005"|"2005"|112||
"600111"|"Total number of radio and television institutions"|"GTM"|"Guatemala"|"2005"|"2005"|298||
"600111"|"Total number of radio and television institutions"|"HTI"|"Haiti"|"2006"|"2006"|179||
"600111"|"Total number of radio and television institutions"|"HKG"|"China, Hong Kong Special Administrative Region"|"2005"|"2005"|10||
"600111"|"Total number of radio and television institutions"|"IND"|"India"|"2005"|"2005"|104||
"600111"|"Total number of radio and television institutions"|"JAM"|"Jamaica"|"2005"|"2005"|21||
"600111"|"Total number of radio and television institutions"|"JOR"|"Jordan"|"2005"|"2005"|19||
"600111"|"Total number of radio and television institutions"|"LVA"|"Latvia"|"2005"|"2005"|50||
"600111"|"Total number of radio and television institutions"|"LBN"|"Lebanon"|"2005"|"2005"|18||
"600111"|"Total number of radio and television institutions"|"LIE"|"Liechtenstein"|"2005"|"2005"|2||
"600111"|"Total number of radio and television institutions"|"LTU"|"Lithuania"|"2005"|"2005"|85||
"600111"|"Total number of radio and television institutions"|"MKD"|"North Macedonia"|"2005"|"2005"|159||
"600111"|"Total number of radio and television institutions"|"MLT"|"Malta"|"2005"|"2005"|21||
"600111"|"Total number of radio and television institutions"|"MRT"|"Mauritania"|"2006"|"2006"|2||
"600111"|"Total number of radio and television institutions"|"MUS"|"Mauritius"|"2005"|"2005"|6||
"600111"|"Total number of radio and television institutions"|"MDA"|"Republic of Moldova"|"2005"|"2005"|82||
"600111"|"Total number of radio and television institutions"|"MCO"|"Monaco"|"2005"|"2005"|6||
"600111"|"Total number of radio and television institutions"|"MNG"|"Mongolia"|"2005"|"2005"|80||
"600111"|"Total number of radio and television institutions"|"MMR"|"Myanmar"|"2005"|"2005"|5||
"600111"|"Total number of radio and television institutions"|"NPL"|"Nepal"|"2005"|"2005"|61||
"600111"|"Total number of radio and television institutions"|"NIC"|"Nicaragua"|"2005"|"2005"|273||
"600111"|"Total number of radio and television institutions"|"NER"|"Niger"|"2005"|"2005"|17||
"600111"|"Total number of radio and television institutions"|"NGA"|"Nigeria"|"2005"|"2005"|223||
"600111"|"Total number of radio and television institutions"|"PSE"|"Palestine"|"2005"|"2005"|62||
"600111"|"Total number of radio and television institutions"|"PAK"|"Pakistan"|"2005"|"2005"|118||
"600111"|"Total number of radio and television institutions"|"PAN"|"Panama"|"2005"|"2005"|152||
"600111"|"Total number of radio and television institutions"|"PNG"|"Papua New Guinea"|"2005"|"2005"|45||
"600111"|"Total number of radio and television institutions"|"PRY"|"Paraguay"|"2005"|"2005"|243||
"600111"|"Total number of radio and television institutions"|"PER"|"Peru"|"2005"|"2005"|1507||
"600111"|"Total number of radio and television institutions"|"ROU"|"Romania"|"2005"|"2005"|336||
"600111"|"Total number of radio and television institutions"|"RWA"|"Rwanda"|"2006"|"2006"|9||
"600111"|"Total number of radio and television institutions"|"LCA"|"Saint Lucia"|"2005"|"2005"|16||
"600111"|"Total number of radio and television institutions"|"VCT"|"Saint Vincent and the Grenadines"|"2006"|"2006"|12||
"600111"|"Total number of radio and television institutions"|"ZAF"|"South Africa"|"2005"|"2005"|8||
"600111"|"Total number of radio and television institutions"|"SUR"|"Suriname"|"2005"|"2005"|57||
"600111"|"Total number of radio and television institutions"|"TZA"|"United Republic of Tanzania"|"2005"|"2005"|61||
"600111"|"Total number of radio and television institutions"|"TGO"|"Togo"|"2005"|"2005"|87||
"600111"|"Total number of radio and television institutions"|"TKL"|"Tokelau"|"2005"|"2005"|3||
"600111"|"Total number of radio and television institutions"|"UGA"|"Uganda"|"2005"|"2005"|113||
"600111"|"Total number of radio and television institutions"|"UKR"|"Ukraine"|"2005"|"2005"|2261||
"600111"|"Total number of radio and television institutions"|"URY"|"Uruguay"|"2005"|"2005"|597||
"600111"|"Total number of radio and television institutions"|"VEN"|"Venezuela (Bolivarian Republic of)"|"2005"|"2005"|739||
"600111"|"Total number of radio and television institutions"|"XDN"|"Sudan (pre-secession)"|"2005"|"2005"|94||
"600120"|"Number of community radio stations"|"AUS"|"Australia"|"2005"|"2005"|405||
"600120"|"Number of community radio stations"|"AUT"|"Austria"|"2005"|"2005"|9||
"600120"|"Number of community radio stations"|"CAN"|"Canada"|"2005"|"2005"|143||
"600120"|"Number of community radio stations"|"FIN"|"Finland"|"2005"|"2005"|6||
"600120"|"Number of community radio stations"|"FRA"|"France"|"2005"|"2005"|140||
"600120"|"Number of community radio stations"|"DEU"|"Germany"|"2005"|"2005"|168||
"600120"|"Number of community radio stations"|"HUN"|"Hungary"|"2005"|"2005"|48||
"600120"|"Number of community radio stations"|"LUX"|"Luxembourg"|"2005"|"2005"|14||
"600120"|"Number of community radio stations"|"MEX"|"Mexico"|"2005"|"2005"|611||
"600120"|"Number of community radio stations"|"NLD"|"Netherlands"|"2005"|"2005"|274||
"600120"|"Number of community radio stations"|"NZL"|"New Zealand"|"2005"|"2005"|42||
"600120"|"Number of community radio stations"|"NOR"|"Norway"|"2005"|"2005"|249||
"600120"|"Number of community radio stations"|"POL"|"Poland"|"2005"|"2005"|11||
"600120"|"Number of community radio stations"|"SWE"|"Sweden"|"2005"|"2005"|1080||
"600120"|"Number of community radio stations"|"AIA"|"Anguilla"|"2005"|"2005"|4||
"600120"|"Number of community radio stations"|"AZE"|"Azerbaijan"|"2005"|"2005"|1||
"600120"|"Number of community radio stations"|"BRA"|"Brazil"|"2005"|"2005"|2428||
"600120"|"Number of community radio stations"|"CMR"|"Cameroon"|"2005"|"2005"|29||
"600120"|"Number of community radio stations"|"CPV"|"Cabo Verde"|"2005"|"2005"|4||
"600120"|"Number of community radio stations"|"CHL"|"Chile"|"2004"|"2004"|365||
"600120"|"Number of community radio stations"|"COL"|"Colombia"|"2006"|"2006"|460||
"600120"|"Number of community radio stations"|"COG"|"Congo"|"2005"|"2005"|5||
"600120"|"Number of community radio stations"|"CIV"|"Côte d'Ivoire"|"2005"|"2005"|87||
"600120"|"Number of community radio stations"|"HRV"|"Croatia"|"2005"|"2005"|131||
"600120"|"Number of community radio stations"|"CUB"|"Cuba"|"2005"|"2005"|63||
"600120"|"Number of community radio stations"|"COD"|"Democratic Republic of the Congo"|"2005"|"2005"|8510||
"600120"|"Number of community radio stations"|"DOM"|"Dominican Republic"|"2005"|"2005"|15||
"600120"|"Number of community radio stations"|"EGY"|"Egypt"|"2005"|"2005"|10||
"600120"|"Number of community radio stations"|"EST"|"Estonia"|"2005"|"2005"|9||
"600120"|"Number of community radio stations"|"GMB"|"Gambia"|"2005"|"2005"|6||
"600120"|"Number of community radio stations"|"GHA"|"Ghana"|"2005"|"2005"|20||
"600120"|"Number of community radio stations"|"HTI"|"Haiti"|"2006"|"2006"|40||
"600120"|"Number of community radio stations"|"IND"|"India"|"2005"|"2005"|22||
"600120"|"Number of community radio stations"|"JAM"|"Jamaica"|"2005"|"2005"|5||
"600120"|"Number of community radio stations"|"LBN"|"Lebanon"|"2005"|"2005"|7||
"600120"|"Number of community radio stations"|"LTU"|"Lithuania"|"2005"|"2005"|3||
"600120"|"Number of community radio stations"|"MKD"|"North Macedonia"|"2005"|"2005"|30||
"600120"|"Number of community radio stations"|"MLT"|"Malta"|"2005"|"2005"|28||
"600120"|"Number of community radio stations"|"MDA"|"Republic of Moldova"|"2005"|"2005"|3||
"600120"|"Number of community radio stations"|"MMR"|"Myanmar"|"2005"|"2005"|1||
"600120"|"Number of community radio stations"|"NPL"|"Nepal"|"2005"|"2005"|15||
"600120"|"Number of community radio stations"|"NER"|"Niger"|"2005"|"2005"|89||
"600120"|"Number of community radio stations"|"NGA"|"Nigeria"|"2005"|"2005"|1||
"600120"|"Number of community radio stations"|"PSE"|"Palestine"|"2005"|"2005"|32||
"600120"|"Number of community radio stations"|"PAK"|"Pakistan"|"2005"|"2005"|8||
"600120"|"Number of community radio stations"|"PNG"|"Papua New Guinea"|"2005"|"2005"|19||
"600120"|"Number of community radio stations"|"PRY"|"Paraguay"|"2005"|"2005"|22||
"600120"|"Number of community radio stations"|"PER"|"Peru"|"2005"|"2005"|7||
"600120"|"Number of community radio stations"|"RWA"|"Rwanda"|"2006"|"2006"|3||
"600120"|"Number of community radio stations"|"VCT"|"Saint Vincent and the Grenadines"|"2006"|"2006"|2||
"600120"|"Number of community radio stations"|"SMR"|"San Marino"|"2005"|"2005"|2||
"600120"|"Number of community radio stations"|"ZAF"|"South Africa"|"2005"|"2005"|28||
"600120"|"Number of community radio stations"|"SUR"|"Suriname"|"2005"|"2005"|5||
"600120"|"Number of community radio stations"|"TZA"|"United Republic of Tanzania"|"2005"|"2005"|2||
"600120"|"Number of community radio stations"|"TGO"|"Togo"|"2005"|"2005"|9||
"600120"|"Number of community radio stations"|"TKL"|"Tokelau"|"2005"|"2005"|3||
"600120"|"Number of community radio stations"|"TUN"|"Tunisia"|"2005"|"2005"|5||
"600120"|"Number of community radio stations"|"UGA"|"Uganda"|"2005"|"2005"|5||
"600120"|"Number of community radio stations"|"VEN"|"Venezuela (Bolivarian Republic of)"|"2005"|"2005"|148||
"600120"|"Number of community radio stations"|"XDN"|"Sudan (pre-secession)"|"2005"|"2005"|3||
"600125"|"Number of internet radio stations"|"AUS"|"Australia"|"2005"|"2005"|3||
"600125"|"Number of internet radio stations"|"CZE"|"Czechia"|"2005"|"2005"|51||
"600125"|"Number of internet radio stations"|"FRA"|"France"|"2005"|"2005"|275||
"600125"|"Number of internet radio stations"|"DEU"|"Germany"|"2005"|"2005"|2250||
"600125"|"Number of internet radio stations"|"HUN"|"Hungary"|"2005"|"2005"|55||
"600125"|"Number of internet radio stations"|"POL"|"Poland"|"2005"|"2005"|75||
"600125"|"Number of internet radio stations"|"TUR"|"Turkey"|"2005"|"2005"|150||
"600125"|"Number of internet radio stations"|"AIA"|"Anguilla"|"2005"|"2005"|3||
"600125"|"Number of internet radio stations"|"ABW"|"Aruba"|"2005"|"2005"|11||
"600125"|"Number of internet radio stations"|"BRA"|"Brazil"|"2005"|"2005"|1000||
"600125"|"Number of internet radio stations"|"CPV"|"Cabo Verde"|"2005"|"2005"|4||
"600125"|"Number of internet radio stations"|"CYM"|"Cayman Islands"|"2005"|"2005"|8||
"600125"|"Number of internet radio stations"|"CUB"|"Cuba"|"2005"|"2005"|6||
"600125"|"Number of internet radio stations"|"COD"|"Democratic Republic of the Congo"|"2005"|"2005"|10||
"600125"|"Number of internet radio stations"|"DOM"|"Dominican Republic"|"2005"|"2005"|50||
"600125"|"Number of internet radio stations"|"EGY"|"Egypt"|"2005"|"2005"|6||
"600125"|"Number of internet radio stations"|"EST"|"Estonia"|"2005"|"2005"|2||
"600125"|"Number of internet radio stations"|"GEO"|"Georgia"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"VAT"|"Holy See"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"JOR"|"Jordan"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"LBN"|"Lebanon"|"2005"|"2005"|7||
"600125"|"Number of internet radio stations"|"LTU"|"Lithuania"|"2005"|"2005"|16||
"600125"|"Number of internet radio stations"|"MUS"|"Mauritius"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"MCO"|"Monaco"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"MMR"|"Myanmar"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"NIC"|"Nicaragua"|"2005"|"2005"|7||
"600125"|"Number of internet radio stations"|"PAK"|"Pakistan"|"2005"|"2005"|4||
"600125"|"Number of internet radio stations"|"QAT"|"Qatar"|"2005"|"2005"|3||
"600125"|"Number of internet radio stations"|"ROU"|"Romania"|"2005"|"2005"|1||
"600125"|"Number of internet radio stations"|"RWA"|"Rwanda"|"2006"|"2006"|4||
"600125"|"Number of internet radio stations"|"LCA"|"Saint Lucia"|"2005"|"2005"|6||
"600125"|"Number of internet radio stations"|"VCT"|"Saint Vincent and the Grenadines"|"2006"|"2006"|4||
"600125"|"Number of internet radio stations"|"SUR"|"Suriname"|"2005"|"2005"|6||
"600125"|"Number of internet radio stations"|"TZA"|"United Republic of Tanzania"|"2005"|"2005"|3||
"600125"|"Number of internet radio stations"|"TGO"|"Togo"|"2005"|"2005"|5||
"600125"|"Number of internet radio stations"|"UGA"|"Uganda"|"2005"|"2005"|2||
"600125"|"Number of internet radio stations"|"ARE"|"United Arab Emirates"|"2005"|"2005"|6||
"600125"|"Number of internet radio stations"|"XDN"|"Sudan (pre-secession)"|"2005"|"2005"|1||
"600134"|"Total number of radio channels"|"AUS"|"Australia"|"2005"|"2005"|70||
"600134"|"Total number of radio channels"|"AUT"|"Austria"|"2005"|"2005"|13||
"600134"|"Total number of radio channels"|"CZE"|"Czechia"|"2005"|"2005"|102||
"600134"|"Total number of radio channels"|"FIN"|"Finland"|"2005"|"2005"|9||
"600134"|"Total number of radio channels"|"FRA"|"France"|"2005"|"2005"|56||
"600134"|"Total number of radio channels"|"DEU"|"Germany"|"2005"|"2005"|56||
"600134"|"Total number of radio channels"|"HUN"|"Hungary"|"2005"|"2005"|13||
"600134"|"Total number of radio channels"|"ISL"|"Iceland"|"2005"|"2005"|6||
"600134"|"Total number of radio channels"|"ITA"|"Italy"|"2004"|"2004"|10||
"600134"|"Total number of radio channels"|"KOR"|"Republic of Korea"|"2005"|"2005"|51||
"600134"|"Total number of radio channels"|"MEX"|"Mexico"|"2005"|"2005"|339||
"600134"|"Total number of radio channels"|"NLD"|"Netherlands"|"2005"|"2005"|294||
"600134"|"Total number of radio channels"|"NZL"|"New Zealand"|"2005"|"2005"|5||
"600134"|"Total number of radio channels"|"NOR"|"Norway"|"2005"|"2005"|270||
"600134"|"Total number of radio channels"|"POL"|"Poland"|"2005"|"2005"|26||
"600134"|"Total number of radio channels"|"PRT"|"Portugal"|"2005"|"2005"|8||
"600134"|"Total number of radio channels"|"SVK"|"Slovakia"|"2005"|"2005"|6||
"600134"|"Total number of radio channels"|"SWE"|"Sweden"|"2005"|"2005"|32||
"600134"|"Total number of radio channels"|"ALB"|"Albania"|"2005"|"2005"|5||
"600134"|"Total number of radio channels"|"DZA"|"Algeria"|"2005"|"2005"|33||
"600134"|"Total number of radio channels"|"AZE"|"Azerbaijan"|"2005"|"2005"|15||
"600134"|"Total number of radio channels"|"BTN"|"Bhutan"|"2005"|"2005"|1||
"600134"|"Total number of radio channels"|"BRA"|"Brazil"|"2005"|"2005"|3890||
"600134"|"Total number of radio channels"|"CMR"|"Cameroon"|"2005"|"2005"|16||
"600134"|"Total number of radio channels"|"CPV"|"Cabo Verde"|"2005"|"2005"|11||
"600134"|"Total number of radio channels"|"CYM"|"Cayman Islands"|"2005"|"2005"|3||
"600134"|"Total number of radio channels"|"CHN"|"China"|"2005"|"2005"|2306||
"600134"|"Total number of radio channels"|"COL"|"Colombia"|"2006"|"2006"|181||
"600134"|"Total number of radio channels"|"COG"|"Congo"|"2005"|"2005"|8||
"600134"|"Total number of radio channels"|"CIV"|"Côte d'Ivoire"|"2005"|"2005"|2||
"600134"|"Total number of radio channels"|"HRV"|"Croatia"|"2005"|"2005"|135||
"600134"|"Total number of radio channels"|"CUB"|"Cuba"|"2005"|"2005"|87||
"600134"|"Total number of radio channels"|"CYP"|"Cyprus"|"2005"|"2005"|4||
"600134"|"Total number of radio channels"|"COD"|"Democratic Republic of the Congo"|"2005"|"2005"|14||
"600134"|"Total number of radio channels"|"DJI"|"Djibouti"|"2004"|"2004"|1||
"600134"|"Total number of radio channels"|"DOM"|"Dominican Republic"|"2005"|"2005"|18||
"600134"|"Total number of radio channels"|"ECU"|"Ecuador"|"2005"|"2005"|62||
"600134"|"Total number of radio channels"|"EGY"|"Egypt"|"2005"|"2005"|38||
"600134"|"Total number of radio channels"|"EST"|"Estonia"|"2005"|"2005"|5||
"600134"|"Total number of radio channels"|"ETH"|"Ethiopia"|"2005"|"2005"|6||
"600134"|"Total number of radio channels"|"GMB"|"Gambia"|"2005"|"2005"|4||
"600134"|"Total number of radio channels"|"GTM"|"Guatemala"|"2005"|"2005"|518||
"600134"|"Total number of radio channels"|"VAT"|"Holy See"|"2005"|"2005"|2||
"600134"|"Total number of radio channels"|"HKG"|"China, Hong Kong Special Administrative Region"|"2005"|"2005"|7||
"600134"|"Total number of radio channels"|"JOR"|"Jordan"|"2005"|"2005"|6||
"600134"|"Total number of radio channels"|"LVA"|"Latvia"|"2005"|"2005"|45||
"600134"|"Total number of radio channels"|"LTU"|"Lithuania"|"2005"|"2005"|2||
"600134"|"Total number of radio channels"|"MKD"|"North Macedonia"|"2005"|"2005"|95||
"600134"|"Total number of radio channels"|"MLT"|"Malta"|"2005"|"2005"|2||
"600134"|"Total number of radio channels"|"MRT"|"Mauritania"|"2006"|"2006"|7||
"600134"|"Total number of radio channels"|"MUS"|"Mauritius"|"2005"|"2005"|8||
"600134"|"Total number of radio channels"|"MDA"|"Republic of Moldova"|"2005"|"2005"|5||
"600134"|"Total number of radio channels"|"MNG"|"Mongolia"|"2005"|"2005"|58||
"600134"|"Total number of radio channels"|"MMR"|"Myanmar"|"2005"|"2005"|4||
"600134"|"Total number of radio channels"|"NPL"|"Nepal"|"2005"|"2005"|57||
"600134"|"Total number of radio channels"|"NIC"|"Nicaragua"|"2005"|"2005"|3||
"600134"|"Total number of radio channels"|"NER"|"Niger"|"2005"|"2005"|9||
"600134"|"Total number of radio channels"|"NGA"|"Nigeria"|"2005"|"2005"|101||
"600134"|"Total number of radio channels"|"PSE"|"Palestine"|"2005"|"2005"|33||
"600134"|"Total number of radio channels"|"PAK"|"Pakistan"|"2005"|"2005"|76||
"600134"|"Total number of radio channels"|"PAN"|"Panama"|"2005"|"2005"|275||
"600134"|"Total number of radio channels"|"PRY"|"Paraguay"|"2005"|"2005"|2||
"600134"|"Total number of radio channels"|"PER"|"Peru"|"2005"|"2005"|25||
"600134"|"Total number of radio channels"|"QAT"|"Qatar"|"2005"|"2005"|12||
"600134"|"Total number of radio channels"|"ROU"|"Romania"|"2005"|"2005"|17||
"600134"|"Total number of radio channels"|"LCA"|"Saint Lucia"|"2005"|"2005"|8||
"600134"|"Total number of radio channels"|"VCT"|"Saint Vincent and the Grenadines"|"2006"|"2006"|1||
"600134"|"Total number of radio channels"|"ZAF"|"South Africa"|"2005"|"2005"|19||
"600134"|"Total number of radio channels"|"SUR"|"Suriname"|"2005"|"2005"|30||
"600134"|"Total number of radio channels"|"SYR"|"Syrian Arab Republic"|"2005"|"2005"|10||
"600134"|"Total number of radio channels"|"TZA"|"United Republic of Tanzania"|"2005"|"2005"|5||
"600134"|"Total number of radio channels"|"TKL"|"Tokelau"|"2005"|"2005"|3||
"600134"|"Total number of radio channels"|"TUN"|"Tunisia"|"2005"|"2005"|8||
"600134"|"Total number of radio channels"|"UGA"|"Uganda"|"2005"|"2005"|15||
"600134"|"Total number of radio channels"|"UKR"|"Ukraine"|"2005"|"2005"|261||
"600134"|"Total number of radio channels"|"ARE"|"United Arab Emirates"|"2005"|"2005"|6||
"600134"|"Total number of radio channels"|"XDN"|"Sudan (pre-secession)"|"2005"|"2005"|15||
"600139"|"Total number of television channels"|"AUS"|"Australia"|"2005"|"2005"|6||
"600139"|"Total number of television channels"|"AUT"|"Austria"|"2005"|"2005"|4||
"600139"|"Total number of television channels"|"AUT"|"Austria"|"2006"|"2006"|15||
"600139"|"Total number of television channels"|"CZE"|"Czechia"|"2005"|"2005"|352||
"600139"|"Total number of television channels"|"CZE"|"Czechia"|"2006"|"2006"|5||
"600139"|"Total number of television channels"|"DNK"|"Denmark"|"2006"|"2006"|9||
"600139"|"Total number of television channels"|"FIN"|"Finland"|"2005"|"2005"|6||
"600139"|"Total number of television channels"|"FRA"|"France"|"2005"|"2005"|23||
"600139"|"Total number of television channels"|"FRA"|"France"|"2006"|"2006"|25||
"600139"|"Total number of television channels"|"DEU"|"Germany"|"2005"|"2005"|15||
"600139"|"Total number of television channels"|"DEU"|"Germany"|"2006"|"2006"|29||
"600139"|"Total number of television channels"|"GRC"|"Greece"|"2006"|"2006"|6||
"600139"|"Total number of television channels"|"HUN"|"Hungary"|"2005"|"2005"|150||
"600139"|"Total number of television channels"|"HUN"|"Hungary"|"2006"|"2006"|4||
"600139"|"Total number of television channels"|"ISL"|"Iceland"|"2005"|"2005"|1||
"600139"|"Total number of television channels"|"ITA"|"Italy"|"2004"|"2004"|10||
"600139"|"Total number of television channels"|"ITA"|"Italy"|"2006"|"2006"|28||
"600139"|"Total number of television channels"|"KOR"|"Republic of Korea"|"2005"|"2005"|24||
"600139"|"Total number of television channels"|"MEX"|"Mexico"|"2005"|"2005"|272||
"600139"|"Total number of television channels"|"NLD"|"Netherlands"|"2005"|"2005"|122||
"600139"|"Total number of television channels"|"NZL"|"New Zealand"|"2005"|"2005"|4||
"600139"|"Total number of television channels"|"NOR"|"Norway"|"2005"|"2005"|78||
"600139"|"Total number of television channels"|"NOR"|"Norway"|"2006"|"2006"|3||
"600139"|"Total number of television channels"|"POL"|"Poland"|"2005"|"2005"|19||
"600139"|"Total number of television channels"|"POL"|"Poland"|"2006"|"2006"|5||
"600139"|"Total number of television channels"|"PRT"|"Portugal"|"2005"|"2005"|8||
"600139"|"Total number of television channels"|"PRT"|"Portugal"|"2006"|"2006"|11||
"600139"|"Total number of television channels"|"SVK"|"Slovakia"|"2005"|"2005"|2||
"600139"|"Total number of television channels"|"SVK"|"Slovakia"|"2006"|"2006"|2||
"600139"|"Total number of television channels"|"ESP"|"Spain"|"2006"|"2006"|46||
"600139"|"Total number of television channels"|"SWE"|"Sweden"|"2005"|"2005"|17||
"600139"|"Total number of television channels"|"SWE"|"Sweden"|"2006"|"2006"|9||
"600139"|"Total number of television channels"|"CHE"|"Switzerland"|"2006"|"2006"|8||
"600139"|"Total number of television channels"|"GBR"|"United Kingdom of Great Britain and Northern Ireland"|"2006"|"2006"|31||
"600139"|"Total number of television channels"|"ALB"|"Albania"|"2005"|"2005"|5||
"600139"|"Total number of television channels"|"ALB"|"Albania"|"2006"|"2006"|7||
"600139"|"Total number of television channels"|"DZA"|"Algeria"|"2005"|"2005"|3||
"600139"|"Total number of television channels"|"ABW"|"Aruba"|"2005"|"2005"|1||
"600139"|"Total number of television channels"|"AZE"|"Azerbaijan"|"2005"|"2005"|22||
"600139"|"Total number of television channels"|"BTN"|"Bhutan"|"2005"|"2005"|1||
"600139"|"Total number of television channels"|"BRA"|"Brazil"|"2005"|"2005"|466||
"600139"|"Total number of television channels"|"BGR"|"Bulgaria"|"2006"|"2006"|2||
"600139"|"Total number of television channels"|"KHM"|"Cambodia"|"2005"|"2005"|7||
"600139"|"Total number of television channels"|"CMR"|"Cameroon"|"2005"|"2005"|2||
"600139"|"Total number of television channels"|"CPV"|"Cabo Verde"|"2005"|"2005"|1||
"600139"|"Total number of television channels"|"CHL"|"Chile"|"2004"|"2004"|2||
"600139"|"Total number of television channels"|"CHN"|"China"|"2005"|"2005"|2899||
"600139"|"Total number of television channels"|"COL"|"Colombia"|"2006"|"2006"|15||
"600139"|"Total number of television channels"|"COG"|"Congo"|"2005"|"2005"|9||
"600139"|"Total number of television channels"|"CIV"|"Côte d'Ivoire"|"2005"|"2005"|2||
"600139"|"Total number of television channels"|"HRV"|"Croatia"|"2005"|"2005"|16||
"600139"|"Total number of television channels"|"HRV"|"Croatia"|"2006"|"2006"|4||
"600139"|"Total number of television channels"|"CUB"|"Cuba"|"2005"|"2005"|27||
"600139"|"Total number of television channels"|"CYP"|"Cyprus"|"2005"|"2005"|2||
